,epoch,variable,value
0,1,loss,3.2768266201019287
1,2,loss,1.7852282524108887
2,3,loss,1.5889862775802612
3,4,loss,1.4197778701782227
4,5,loss,1.348274827003479
5,6,loss,1.292506217956543
6,7,loss,1.2449936866760254
7,8,loss,1.2001447677612305
8,9,loss,1.1454589366912842
9,10,loss,1.0704612731933594
10,11,loss,1.0195322036743164
11,12,loss,0.9766934514045715
12,13,loss,0.9468860626220703
13,14,loss,0.939625084400177
14,15,loss,1.0556485652923584
15,16,loss,0.918673038482666
16,17,loss,0.8881828188896179
17,18,loss,0.9213035702705383
18,19,loss,0.814357578754425
19,20,loss,0.7936465740203857
20,21,loss,0.8332395553588867
21,22,loss,0.7369847893714905
22,23,loss,0.7396916747093201
23,24,loss,0.9444522261619568
24,25,loss,0.8309892416000366
25,26,loss,0.8305639028549194
26,27,loss,0.761082649230957
27,28,loss,0.7463738918304443
28,29,loss,0.7492890954017639
29,30,loss,0.6674538850784302
30,31,loss,0.6734232902526855
31,32,loss,0.6623455286026001
32,33,loss,0.6223365068435669
33,34,loss,0.6282909512519836
34,35,loss,0.65847247838974
35,36,loss,0.6408487558364868
36,37,loss,0.6029097437858582
37,38,loss,0.619707465171814
38,39,loss,0.6125690937042236
39,40,loss,0.5569730997085571
40,41,loss,0.5767599940299988
41,42,loss,0.5691051483154297
42,43,loss,0.5638288259506226
43,44,loss,0.5560142397880554
44,45,loss,0.5698625445365906
45,46,loss,0.5773748159408569
46,47,loss,0.5801115036010742
47,48,loss,0.6054748892784119
48,49,loss,0.5746164321899414
49,50,loss,0.5417867302894592
50,51,loss,0.5361027121543884
51,52,loss,0.48891937732696533
52,53,loss,0.5118754506111145
53,54,loss,0.524067223072052
54,55,loss,0.5286886096000671
55,56,loss,0.4688745141029358
56,57,loss,0.49576807022094727
57,58,loss,0.5294408798217773
58,59,loss,0.4841057062149048
59,60,loss,0.5146293044090271
60,61,loss,0.5756633877754211
61,62,loss,0.4687616229057312
62,63,loss,0.48535028100013733
63,64,loss,0.49608728289604187
64,65,loss,0.4546259641647339
65,66,loss,0.48521971702575684
66,67,loss,0.44879183173179626
67,68,loss,0.4534578025341034
68,69,loss,0.40229254961013794
69,70,loss,0.4286590814590454
70,71,loss,0.41836628317832947
71,72,loss,0.4027375876903534
72,73,loss,0.40020984411239624
73,74,loss,0.41612643003463745
74,75,loss,0.4337823688983917
75,76,loss,0.39433902502059937
76,77,loss,0.4041897654533386
77,78,loss,0.42295798659324646
78,79,loss,0.3809918165206909
79,80,loss,0.40400025248527527
80,81,loss,0.376518189907074
81,82,loss,0.37330058217048645
82,83,loss,0.3487805426120758
83,84,loss,0.34871208667755127
84,85,loss,0.42324399948120117
85,86,loss,0.39558595418930054
86,87,loss,0.36441290378570557
87,88,loss,0.406428724527359
88,89,loss,0.3632957637310028
89,90,loss,0.3621279299259186
90,91,loss,0.3671793043613434
91,92,loss,0.34208476543426514
92,93,loss,0.3444874584674835
93,94,loss,0.3645137846469879
94,95,loss,0.4602131247520447
95,96,loss,0.42435422539711
96,97,loss,0.38626348972320557
97,98,loss,0.374690443277359
98,99,loss,0.3353949785232544
99,100,loss,0.3478359282016754
100,1,accuracy,0.22674623131752014
101,2,accuracy,0.37451738119125366
102,3,accuracy,0.43278342485427856
103,4,accuracy,0.5177255272865295
104,5,accuracy,0.538083553314209
105,6,accuracy,0.5651105642318726
106,7,accuracy,0.5703755617141724
107,8,accuracy,0.5851175785064697
108,9,accuracy,0.6131976246833801
109,10,accuracy,0.6412776708602905
110,11,accuracy,0.6486486196517944
111,12,accuracy,0.6619866490364075
112,13,accuracy,0.6816427111625671
113,14,accuracy,0.6904177069664001
114,15,accuracy,0.6423306465148926
115,16,accuracy,0.6984906792640686
116,17,accuracy,0.6970866918563843
117,18,accuracy,0.6900666952133179
118,19,accuracy,0.7167426943778992
119,20,accuracy,0.7381537556648254
120,21,accuracy,0.7181467413902283
121,22,accuracy,0.7528957724571228
122,23,accuracy,0.7546507716178894
123,24,accuracy,0.6823446750640869
124,25,accuracy,0.7248157262802124
125,26,accuracy,0.7191997170448303
126,27,accuracy,0.7497367262840271
127,28,accuracy,0.7458757162094116
128,29,accuracy,0.743067741394043
129,30,accuracy,0.773955762386322
130,31,accuracy,0.7690417766571045
131,32,accuracy,0.7746577858924866
132,33,accuracy,0.782730758190155
133,34,accuracy,0.7806248068809509
134,35,accuracy,0.773955762386322
135,36,accuracy,0.7837837934494019
136,37,accuracy,0.7964197993278503
137,38,accuracy,0.7911548018455505
138,39,accuracy,0.7978237867355347
139,40,accuracy,0.8048437833786011
140,41,accuracy,0.8129168152809143
141,42,accuracy,0.8062478303909302
142,43,accuracy,0.8051947951316833
143,44,accuracy,0.80694979429245
144,45,accuracy,0.812565803527832
145,46,accuracy,0.803790807723999
146,47,accuracy,0.7995787858963013
147,48,accuracy,0.8009827733039856
148,49,accuracy,0.7946648001670837
149,50,accuracy,0.8132678270339966
150,51,accuracy,0.8237978219985962
151,52,accuracy,0.8350298404693604
152,53,accuracy,0.821340799331665
153,54,accuracy,0.8118638396263123
154,55,accuracy,0.8174797892570496
155,56,accuracy,0.8273078203201294
156,57,accuracy,0.8311688303947449
157,58,accuracy,0.8122147917747498
158,59,accuracy,0.8357318639755249
159,60,accuracy,0.8234468102455139
160,61,accuracy,0.8034397959709167
161,62,accuracy,0.8332748413085938
162,63,accuracy,0.8209898471832275
163,64,accuracy,0.833625853061676
164,65,accuracy,0.8385398387908936
165,66,accuracy,0.8339768052101135
166,67,accuracy,0.8462618589401245
167,68,accuracy,0.8518778681755066
168,69,accuracy,0.8620568513870239
169,70,accuracy,0.8564408421516418
170,71,accuracy,0.8483678698539734
171,72,accuracy,0.8662688732147217
172,73,accuracy,0.858897864818573
173,74,accuracy,0.8574938774108887
174,75,accuracy,0.8483678698539734
175,76,accuracy,0.8638118505477905
176,77,accuracy,0.8553878664970398
177,78,accuracy,0.8560898303985596
178,79,accuracy,0.8697788715362549
179,80,accuracy,0.8536328673362732
180,81,accuracy,0.8620568513870239
181,82,accuracy,0.8645138740539551
182,83,accuracy,0.8767988681793213
183,84,accuracy,0.8789048790931702
184,85,accuracy,0.8504738211631775
185,86,accuracy,0.8617058396339417
186,87,accuracy,0.8718848824501038
187,88,accuracy,0.8638118505477905
188,89,accuracy,0.8746928572654724
189,90,accuracy,0.8708318471908569
190,91,accuracy,0.8655668497085571
191,92,accuracy,0.8862758874893188
192,93,accuracy,0.8813619017601013
193,94,accuracy,0.8704808950424194
194,95,accuracy,0.8518778681755066
195,96,accuracy,0.8553878664970398
196,97,accuracy,0.8652158379554749
197,98,accuracy,0.8617058396339417
198,99,accuracy,0.8817128539085388
199,100,accuracy,0.875394880771637
200,1,val_loss,2.488593578338623
201,2,val_loss,2.5990405082702637
202,3,val_loss,3.0610225200653076
203,4,val_loss,2.9956815242767334
204,5,val_loss,3.1357791423797607
205,6,val_loss,2.053405284881592
206,7,val_loss,2.1237103939056396
207,8,val_loss,2.3483359813690186
208,9,val_loss,2.0118985176086426
209,10,val_loss,1.5657708644866943
210,11,val_loss,1.584177017211914
211,12,val_loss,1.4149068593978882
212,13,val_loss,1.9962488412857056
213,14,val_loss,1.3530031442642212
214,15,val_loss,2.2831735610961914
215,16,val_loss,1.2774486541748047
216,17,val_loss,1.3137160539627075
217,18,val_loss,0.9952846169471741
218,19,val_loss,0.8705122470855713
219,20,val_loss,1.5956671237945557
220,21,val_loss,1.0836890935897827
221,22,val_loss,0.9303064346313477
222,23,val_loss,2.582705497741699
223,24,val_loss,2.619896411895752
224,25,val_loss,1.5631012916564941
225,26,val_loss,0.8043407201766968
226,27,val_loss,1.0636235475540161
227,28,val_loss,0.8343862891197205
228,29,val_loss,1.3411017656326294
229,30,val_loss,0.746812105178833
230,31,val_loss,1.1028865575790405
231,32,val_loss,0.8713392019271851
232,33,val_loss,1.4226508140563965
233,34,val_loss,1.0059058666229248
234,35,val_loss,0.6344031095504761
235,36,val_loss,1.6141607761383057
236,37,val_loss,0.5510597825050354
237,38,val_loss,0.7410851120948792
238,39,val_loss,0.6807485222816467
239,40,val_loss,0.7620742321014404
240,41,val_loss,0.6716340184211731
241,42,val_loss,0.5464590787887573
242,43,val_loss,0.6535834074020386
243,44,val_loss,0.6842467188835144
244,45,val_loss,0.603568971157074
245,46,val_loss,1.0713106393814087
246,47,val_loss,0.611701250076294
247,48,val_loss,1.158612608909607
248,49,val_loss,0.7302299737930298
249,50,val_loss,0.5094137787818909
250,51,val_loss,0.7736472487449646
251,52,val_loss,1.089231014251709
252,53,val_loss,0.5022275447845459
253,54,val_loss,0.7185943126678467
254,55,val_loss,0.7033568620681763
255,56,val_loss,0.839769721031189
256,57,val_loss,0.4955148696899414
257,58,val_loss,1.223636507987976
258,59,val_loss,0.708483099937439
259,60,val_loss,0.9878094792366028
260,61,val_loss,0.936022162437439
261,62,val_loss,0.6134079098701477
262,63,val_loss,0.7843213677406311
263,64,val_loss,2.3559069633483887
264,65,val_loss,0.4548066258430481
265,66,val_loss,0.5164040923118591
266,67,val_loss,0.48801955580711365
267,68,val_loss,0.38932713866233826
268,69,val_loss,0.4810609817504883
269,70,val_loss,1.077470302581787
270,71,val_loss,0.4268045425415039
271,72,val_loss,0.4450715184211731
272,73,val_loss,0.38838714361190796
273,74,val_loss,0.541805624961853
274,75,val_loss,0.6706764101982117
275,76,val_loss,0.3670526444911957
276,77,val_loss,0.9111009836196899
277,78,val_loss,0.4561183452606201
278,79,val_loss,0.4869935214519501
279,80,val_loss,0.5835446715354919
280,81,val_loss,0.45587342977523804
281,82,val_loss,0.4322825074195862
282,83,val_loss,0.34917205572128296
283,84,val_loss,0.5212242603302002
284,85,val_loss,0.4716480076313019
285,86,val_loss,0.5099079012870789
286,87,val_loss,0.44249093532562256
287,88,val_loss,0.4689103364944458
288,89,val_loss,1.030537724494934
289,90,val_loss,0.3079521059989929
290,91,val_loss,0.5367262363433838
291,92,val_loss,0.5177288055419922
292,93,val_loss,0.7538750171661377
293,94,val_loss,1.3905916213989258
294,95,val_loss,0.42697909474372864
295,96,val_loss,0.4342338442802429
296,97,val_loss,1.6721343994140625
297,98,val_loss,0.5798692107200623
298,99,val_loss,1.2295321226119995
299,100,val_loss,0.3981333374977112
300,1,val_accuracy,0.08415146917104721
301,2,val_accuracy,0.13604487478733063
302,3,val_accuracy,0.14726507663726807
303,4,val_accuracy,0.16970546543598175
304,5,val_accuracy,0.23842917382717133
305,6,val_accuracy,0.2931276261806488
306,7,val_accuracy,0.2734922766685486
307,8,val_accuracy,0.20757363736629486
308,9,val_accuracy,0.26367461681365967
309,10,val_accuracy,0.4642356336116791
310,11,val_accuracy,0.4277699887752533
311,12,val_accuracy,0.45301541686058044
312,13,val_accuracy,0.23842917382717133
313,14,val_accuracy,0.5652173757553101
314,15,val_accuracy,0.27769985795021057
315,16,val_accuracy,0.5525946617126465
316,17,val_accuracy,0.5245441794395447
317,18,val_accuracy,0.6998597383499146
318,19,val_accuracy,0.7615708112716675
319,20,val_accuracy,0.44880786538124084
320,21,val_accuracy,0.6423562169075012
321,22,val_accuracy,0.7335203289985657
322,23,val_accuracy,0.27208974957466125
323,24,val_accuracy,0.26788219809532166
324,25,val_accuracy,0.4277699887752533
325,26,val_accuracy,0.7784011363983154
326,27,val_accuracy,0.6704067587852478
327,28,val_accuracy,0.7601683139801025
328,29,val_accuracy,0.48246845602989197
329,30,val_accuracy,0.8008415102958679
330,31,val_accuracy,0.6157082915306091
331,32,val_accuracy,0.7138850092887878
332,33,val_accuracy,0.44039270281791687
333,34,val_accuracy,0.6732117533683777
334,35,val_accuracy,0.8162692785263062
335,36,val_accuracy,0.41093969345092773
336,37,val_accuracy,0.8611500859260559
337,38,val_accuracy,0.792426347732544
338,39,val_accuracy,0.8078541159629822
339,40,val_accuracy,0.7769985795021057
340,41,val_accuracy,0.8064516186714172
341,42,val_accuracy,0.8471248149871826
342,43,val_accuracy,0.7840112447738647
343,44,val_accuracy,0.774193525314331
344,45,val_accuracy,0.8134642243385315
345,46,val_accuracy,0.6661991477012634
346,47,val_accuracy,0.842917263507843
